"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","GTIN","MPN","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"67e994caacb4bf75c1bddf0b","1b15e5c2-2e38-4f58-8caf-e31fdea104fb","SERVICE","products","x2k3kdjykh1q8daq8yc9y7giyybk9o","MEMBERSHIP : Annual","<h3 style=""text-align: start; ; white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Cultivate Inner Peace and Unleash Your Inner Warrior: Join the school of Chin Family – Zhong Xin Dao / I Liq Chuan!</h3><p style=""text-align: start; ; white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Ready to deepen your practice and unlock the full potential of I Liq Chuan?</strong> Become a member of the Chin Family I Liq Chuan Association and embark on a rewarding journey of self-discovery and growth.</p><p style=""text-align: start; ; white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Here’s what awaits you:</strong></p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Master the Art:</strong> Progress through the I Liq Chuan ranking system, a testament to your dedication and skill.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Become an Instructor (Optional):</strong> Earn your certification and share your passion by building your own I Liq Chuan classes.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Travel and Train:</strong> Enjoy exclusive discounts on I Liq Chuan workshops held around the world, connect with fellow practitioners, and learn from renowned instructors.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Local Perks:</strong> Many regional instructors offer additional benefits to their students. Find an instructor near you and explore the possibilities!</p></li></ul><p style=""text-align: start; ; white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Membership Options to Suit Your Needs:</strong></p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Regular Membership:</strong> Train at a discounted rate.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>21 &amp; Under Membership:</strong> Special discounts for ages 21 and under</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Senior Membership (65+):</strong> Enjoy a special discounted rate.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Lifetime Membership:</strong> Pay once and benefit for a lifetime!</p></li></ul><p style=""text-align: start; ; white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Join our growing community and invest in your mindful journey with I Liq Chuan today!</strong></p><p style=""text-align: start; ; white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>*Membership will auto renew until cancel. </strong></p>","MEM-YEAR-REG","","","Type","Annual : Regular","","","","","","","","","","","85.00","0.00","No","Unlimited","/membership","Membership, Annual, Join, Start, Senior","","","","","Yes","https://images.squarespace-cdn.com/content/v1/6779aa493bf8f707711e50e7/29e78cee-3c20-4511-8f88-944ca42f90c2/Annual+Memberships+Icon.png"
"","60c29117-3770-4d7a-8162-a0bd12f9c9e3","","","","","","MEM-YEAR-SEN","","","Type","Annual : 65+ Senior","","","","","","","","","","","55.00","0.00","No","Unlimited","","","","","","","",""
"","850143de-a3eb-4592-b0df-c01fe4023d69","","","","","","MEM-YEAR-21","","","Type","Annual : Under 21","","","","","","","","","","","55.00","0.00","No","Unlimited","","","","","","","",""
"68ab8406c1bfc45b6dc2798a","1e02c605-5c79-4b45-a487-8c36d8373c24","SERVICE","products","license-instructor-group-leader","LICENSE : Instructor + Group Leader","","LIS-YEAR-GL","","","Type","Group Leader : $150 Yearly","","","","","","","","","","","150.00","0.00","No","Unlimited","/license","License, Membership","","","","","Yes","https://images.squarespace-cdn.com/content/v1/6779aa493bf8f707711e50e7/b3188dba-ada5-401f-b0cb-3ffa4a67227a/instructor+license+badge.png"
"","ba3dc24b-9315-4056-936d-24776a3eb161","","","","","","LIS-YEAR-INS","","","Type","Instructor : $150 Yearly","","","","","","","","","","","150.00","0.00","No","Unlimited","","","","","","","",""
"","1982750a-98b2-455a-a1ec-e2cdf472d1fa","","","","","","LIS-YEAR-LI","","","Type","Legacy Instructor : $150 Yearly","","","","","","","","","","","150.00","0.00","No","Unlimited","","","","","","","",""
"68abd45f27630e0353af4235","56986ceb-454b-4987-88d7-7a00ccbedf0e","SERVICE","products","grading-application-levels","GRADING : Application Levels","","GRA-APP-1","","","Levels","Application Level 1","","","","","","","","","","","150.00","0.00","No","Unlimited","/gradings","Application, Grading","","","","","Yes","https://images.squarespace-cdn.com/content/v1/6779aa493bf8f707711e50e7/2ad431f6-6313-44e8-89b7-809b81839a36/application+grading+badge.png"
"","427a8e6b-3d94-41c4-89ea-ecb9d07dc5ef","","","","","","GRA-APP-2","","","Levels","Application Level 2","","","","","","","","","","","150.00","0.00","No","Unlimited","","","","","","","",""
"","02170a40-fcb1-435d-affa-d99e2c9274e7","","","","","","GRA-APP-3","","","Levels","Application Level 3","","","","","","","","","","","200.00","0.00","No","Unlimited","","","","","","","",""
"","4a3e4c94-b2f8-47ba-9623-4fee45231a88","","","","","","GRA-APP-4","","","Levels","Application Level 4","","","","","","","","","","","350.00","0.00","No","Unlimited","","","","","","","",""
